Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,99.0,0.9666753,-15.353535353535353,-15.353535353535353,1.0
20000,1.4189384,99.0,0.9342836,-23.16,-23.16,1.0
30000,1.4189383,99.0,1.5551116,-21.2175,-21.2175,1.0
40000,None,99.0,1.2155756,-19.67,-19.67,1.0
50000,1.4187235,99.0,1.2572544,-17.22,-17.22,1.0
60000,1.418783,99.0,0.953134,-22.19,-22.19,1.0
70000,1.4187831,99.0,1.0728028,-17.52,-17.52,1.0
80000,1.4160534,99.0,0.57618093,-19.99,-19.99,1.0
90000,1.4160535,99.0,0.7801709,-16.04,-16.04,1.0
100000,None,99.0,0.45630586,-19.0475,-19.0475,1.0
110000,1.4139978,99.0,0.5649792,-21.18,-21.18,1.0
120000,1.4145719,99.0,0.34342155,-21.81,-21.81,1.0
130000,1.4145716,99.0,0.34853622,-18.35,-18.35,1.0
140000,1.413224,99.0,0.22825672,-16.3,-16.3,1.0
150000,1.4132239,99.0,-0.23198982,-17.74,-17.74,1.0
160000,1.412549,99.0,0.09652624,-20.66,-20.66,1.0
170000,1.4125488,99.0,-0.35382217,-21.74,-21.74,1.0
180000,1.4121655,99.0,-0.7119672,-17.24,-17.24,1.0
190000,1.4121653,99.0,-0.66729355,-15.59,-15.59,1.0
200000,1.4120948,99.0,-0.7497866,-13.37,-13.37,1.0
210000,1.4118941,99.0,-0.82341826,-21.73,-21.73,1.0
220000,1.4118942,99.0,-0.8133232,-17.56,-17.56,1.0
230000,1.410857,99.0,-1.1038784,-12.95,-12.95,1.0
240000,1.4107382,99.0,-1.3204962,-18.26,-18.26,1.0
250000,1.410738,99.0,-1.4543471,-15.03,-15.03,1.0
260000,1.409317,99.0,-1.324944,-14.2175,-14.2175,1.0
270000,1.409317,99.0,-1.7060714,-14.22,-14.22,1.0
280000,1.4084766,99.0,-1.6561022,-12.37,-12.37,1.0
290000,1.4084766,99.0,-1.7229761,-17.415,-17.415,1.0
300000,1.4060696,99.0,-1.9925646,-10.76,-10.76,1.0
310000,1.4060694,99.0,-2.0757213,-13.7375,-13.7375,1.0
320000,1.4055668,99.0,-2.048684,-16.54,-16.54,1.0
330000,1.4055669,99.0,-2.219715,-8.08,-8.08,1.0
340000,1.406227,99.0,-2.422342,-14.7075,-14.7075,1.0
350000,1.4062269,99.0,-2.3839839,-11.14,-11.14,1.0
360000,1.4070386,99.0,-2.6919472,-12.52,-12.52,1.0
370000,1.4070383,99.0,-2.6261556,-10.5875,-10.5875,1.0
380000,1.4069289,99.0,-2.889229,-12.81,-12.81,1.0
390000,1.4069289,99.0,-2.860599,-10.0325,-10.0325,1.0
400000,1.4060876,99.0,-3.050726,-11.885,-11.885,1.0
410000,1.4060876,99.0,-3.214826,-11.2575,-11.2575,1.0
420000,1.4058089,99.0,-3.275735,-7.28,-7.28,1.0
430000,1.4053022,99.0,-3.4167287,-11.65,-11.65,1.0
440000,1.4053022,99.0,-3.4626894,-7.675,-7.675,1.0
450000,1.4040067,99.0,-3.6572244,-8.7225,-8.7225,1.0
460000,1.4038736,99.0,-3.6195517,-9.71,-9.71,1.0
470000,1.4038736,99.0,-3.8438592,-6.12,-6.12,1.0
480000,1.4034355,99.0,-3.7290747,-6.85,-6.85,1.0
490000,1.4034353,99.0,-3.7842245,-7.1025,-7.1025,1.0
500000,1.4019605,99.0,-3.7982502,-4.8075,-4.8075,1.0
510000,1.4019605,99.0,-4.2150416,-9.915,-9.915,1.0
520000,1.3982755,99.0,-3.898179,-5.2025,-5.2025,1.0
530000,1.3982755,99.0,-4.1635265,-8.375,-8.375,1.0
540000,1.3972237,99.0,-3.9508255,-5.9725,-5.9725,1.0
550000,1.3972238,99.0,-3.8774972,-7.4875,-7.4875,1.0
