Steps,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Entropy,Is Training
24220000,99.0,4.242855,4.105000028610229,4.105000028610229,0.25604206,1.0
24230000,99.0,4.2072997,4.0310000011324885,4.0310000011324885,0.25563112,1.0
24240000,99.0,4.218119,4.260999954938889,4.260999954938889,0.2556083,1.0
24250000,99.0,4.266943,4.486999980807305,4.486999980807305,0.25541085,1.0
24260000,99.0,4.224666,4.191000019311905,4.191000019311905,0.25533196,1.0
24270000,99.0,4.2142687,4.183000028133392,4.183000028133392,0.2555193,1.0
24280000,99.0,4.260794,4.665000005960464,4.665000005960464,0.25560144,1.0
24290000,99.0,4.2274485,4.471000027656555,4.471000027656555,0.25567642,1.0
24300000,99.0,4.238625,4.298000024557114,4.298000024557114,0.2557659,1.0
24310000,99.0,4.2347383,4.260999986827374,4.260999986827374,0.25579947,1.0
24320000,99.0,4.2120104,4.012999984025956,4.012999984025956,0.25583595,1.0
24330000,99.0,4.228975,3.910999995470047,3.910999995470047,0.2558626,1.0
24340000,99.0,4.2309227,4.401000000238419,4.401000000238419,0.25596523,1.0
24350000,99.0,4.1953025,3.9839999946951865,3.9839999946951865,0.2559651,1.0
24360000,99.0,4.2275543,4.25000000834465,4.25000000834465,0.25596422,1.0
24370000,99.0,4.2085643,3.9399999952316285,3.9399999952316285,0.25596422,1.0
24380000,99.0,4.2266483,4.4320000600814815,4.4320000600814815,0.25553015,1.0
24390000,99.0,4.193871,3.997000000476837,3.997000000476837,0.25550467,1.0
24400000,99.0,4.228254,4.127000010311604,4.127000010311604,0.2554476,1.0
24410000,99.0,4.2270365,4.314000024795532,4.314000024795532,0.25544688,1.0
24420000,99.0,4.2410984,4.6600000268220905,4.6600000268220905,0.25539383,1.0
24430000,99.0,4.2415395,4.48299999833107,4.48299999833107,0.25537017,1.0
24440000,99.0,4.2822814,4.405000022053718,4.405000022053718,0.25546274,1.0
24450000,99.0,4.2742486,3.984000004529953,3.984000004529953,0.25550336,1.0
24460000,99.0,4.2621617,3.982999995946884,3.982999995946884,0.25535578,1.0
24470000,99.0,4.2364006,4.005000005364418,4.005000005364418,0.2551696,1.0
24480000,99.0,4.253071,3.966000031232834,3.966000031232834,0.25520095,1.0
24490000,99.0,4.241728,4.40600003361702,4.40600003361702,0.2552467,1.0
24500000,99.0,4.247522,4.235000011920929,4.235000011920929,0.2552282,1.0
24510000,99.0,4.2790976,4.503000007867813,4.503000007867813,0.25513867,1.0
24520000,99.0,4.289494,4.496000031232834,4.496000031232834,0.2550941,1.0
24530000,99.0,4.252369,4.059000023007393,4.059000023007393,0.25490618,1.0
24540000,99.0,4.241781,4.280999984741211,4.280999984741211,0.25490618,1.0
24550000,99.0,4.2849846,4.141999986171722,4.141999986171722,0.2547865,1.0
24560000,99.0,4.295319,4.510999994874001,4.510999994874001,0.25478026,1.0
24570000,99.0,4.2920737,4.571000000238419,4.571000000238419,0.25450325,1.0
24580000,99.0,4.268215,4.114000028967857,4.114000028967857,0.25448754,1.0
24590000,99.0,4.30645,4.335000019073487,4.335000019073487,0.25424162,1.0
24600000,99.0,4.2940855,4.4420000064373015,4.4420000064373015,0.2541358,1.0
24610000,99.0,4.2880573,4.252000008821487,4.252000008821487,0.25395587,1.0
24620000,99.0,4.2930903,4.149000022411347,4.149000022411347,0.25387904,1.0
24630000,99.0,4.3456473,4.72900001168251,4.72900001168251,0.25368756,1.0
24640000,99.0,4.323451,4.196999975442886,4.196999975442886,0.25344414,1.0
24650000,99.0,4.311037,4.24999996624887,4.24999996624887,0.2534266,1.0
24660000,99.0,4.3381214,4.315000001788139,4.315000001788139,0.25340775,1.0
24670000,99.0,4.355908,4.382000021040439,4.382000021040439,0.2534291,1.0
24680000,99.0,4.2960725,4.150000049471855,4.150000049471855,0.25350755,1.0
24690000,99.0,4.2966146,4.01500000834465,4.01500000834465,0.25356942,1.0
24700000,99.0,4.335549,4.555000017285347,4.555000017285347,0.25382513,1.0
24710000,99.0,4.303086,4.085000002384186,4.085000002384186,0.25382513,1.0
24720000,99.0,4.2775364,3.975000013709068,3.975000013709068,0.25371167,1.0
24730000,99.0,4.274337,4.049000022411346,4.049000022411346,0.2537015,1.0
24740000,99.0,4.3106866,4.450999961495399,4.450999961495399,0.25357607,1.0
24750000,99.0,4.30527,4.287000023126602,4.287000023126602,0.2535705,1.0
24760000,99.0,4.2951407,4.176000047922134,4.176000047922134,0.25352755,1.0
24770000,99.0,4.32109,4.203999997377395,4.203999997377395,0.25351068,1.0
24780000,99.0,4.2899294,4.101000012159347,4.101000012159347,0.25347367,1.0
24790000,99.0,4.2713404,4.088000024557114,4.088000024557114,0.25345606,1.0
24800000,99.0,4.2409534,4.03199999332428,4.03199999332428,0.2532462,1.0
24810000,99.0,4.2404785,3.990000021159649,3.990000021159649,0.2529866,1.0
24820000,99.0,4.261666,4.256000022292137,4.256000022292137,0.25289705,1.0
24830000,99.0,4.2603703,4.249000019729137,4.249000019729137,0.25279427,1.0
24840000,99.0,4.2460103,3.966000010967255,3.966000010967255,0.2527716,1.0
24850000,99.0,4.258128,4.287000014483929,4.287000014483929,0.25267345,1.0
24860000,99.0,4.265921,4.581999995708466,4.581999995708466,0.2525849,1.0
24870000,99.0,4.274942,4.233000007867813,4.233000007867813,0.25222564,1.0
24880000,99.0,4.27612,4.3430000185966495,4.3430000185966495,0.25222564,1.0
24890000,99.0,4.252588,4.152999992966652,4.152999992966652,0.2519212,1.0
24900000,99.0,4.2810054,4.339999995827675,4.339999995827675,0.25190756,1.0
24910000,99.0,4.283646,4.630000042915344,4.630000042915344,0.25168255,1.0
24920000,99.0,4.261013,4.059000024795532,4.059000024795532,0.25166994,1.0
24930000,99.0,4.2691526,4.318000037670135,4.318000037670135,0.25162923,1.0
24940000,99.0,4.2869387,4.328000025451184,4.328000025451184,0.25161403,1.0
24950000,99.0,4.2907543,4.516999992132187,4.516999992132187,0.25149137,1.0
24960000,99.0,4.27356,4.550000030398369,4.550000030398369,0.25143498,1.0
24970000,99.0,4.280273,4.294000009298324,4.294000009298324,0.25124046,1.0
24980000,99.0,4.282343,4.140999993979931,4.140999993979931,0.25100178,1.0
24990000,99.0,4.2834954,3.9479999744892122,3.9479999744892122,0.25086915,1.0
25000000,99.0,4.3175,4.535999983549118,4.535999983549118,0.2507076,1.0
25010000,99.0,4.2718596,4.117000034749508,4.117000034749508,0.25068396,1.0
25020000,99.0,4.3163486,4.364999994635582,4.364999994635582,0.2505955,1.0
25030000,99.0,4.325233,4.587000021040439,4.587000021040439,0.2505565,1.0
25040000,99.0,4.317601,4.32900001347065,4.32900001347065,0.25039154,1.0
25050000,99.0,4.3348403,4.249999993443489,4.249999993443489,0.25039154,1.0
25060000,99.0,4.324288,4.27299999833107,4.27299999833107,0.2499172,1.0
25070000,99.0,4.3681016,4.481000027656555,4.481000027656555,0.24989311,1.0
25080000,99.0,4.3635335,4.499999962449074,4.499999962449074,0.24924065,1.0
25090000,99.0,4.3430114,4.334000014066696,4.334000014066696,0.24920104,1.0
25100000,99.0,4.379333,4.694000021219254,4.694000021219254,0.24900405,1.0
25110000,99.0,4.3549786,4.47800002515316,4.47800002515316,0.2489248,1.0
25120000,99.0,4.353771,4.363999987840653,4.363999987840653,0.24888943,1.0
25130000,99.0,4.3593383,4.353000001907349,4.353000001907349,0.24887466,1.0
25140000,99.0,4.35576,4.179999979734421,4.179999979734421,0.24875613,1.0
25150000,99.0,4.3370714,4.324999996423721,4.324999996423721,0.24860571,1.0
25160000,99.0,4.338373,4.25299998998642,4.25299998998642,0.2485958,1.0
25170000,99.0,4.328712,4.358000004291535,4.358000004291535,0.24858828,1.0
25180000,99.0,4.3713775,4.375999998450279,4.375999998450279,0.24855232,1.0
25190000,99.0,4.33595,4.24800003349781,4.24800003349781,0.24840283,1.0
25200000,99.0,4.368326,4.549000015258789,4.549000015258789,0.24832478,1.0
25210000,99.0,4.310073,4.205,4.205,0.24801111,1.0
25220000,99.0,4.3144975,4.154000019729137,4.154000019729137,0.24801111,1.0
25230000,99.0,4.3292756,4.305000041723251,4.305000041723251,0.24779887,1.0
25240000,99.0,4.307052,4.149999976158142,4.149999976158142,0.24778838,1.0
25250000,99.0,4.2706127,4.290999971628189,4.290999971628189,0.24727744,1.0
25260000,99.0,4.2887926,4.541000044345855,4.541000044345855,0.2472468,1.0
25270000,99.0,4.3142867,4.390000007152557,4.390000007152557,0.24715388,1.0
25280000,99.0,4.341777,4.426000008583069,4.426000008583069,0.2471187,1.0
25290000,99.0,4.3017397,4.394000003933907,4.394000003933907,0.24711773,1.0
25300000,99.0,4.3446164,4.4500000023841855,4.4500000023841855,0.24711658,1.0
25310000,99.0,4.321454,4.232000036835671,4.232000036835671,0.24712688,1.0
25320000,99.0,4.334576,4.375000030249357,4.375000030249357,0.24713755,1.0
25330000,99.0,4.33533,4.0550000283122065,4.0550000283122065,0.24698228,1.0
25340000,99.0,4.325091,4.197000024318695,4.197000024318695,0.24677968,1.0
25350000,99.0,4.316347,4.120000016689301,4.120000016689301,0.2466872,1.0
25360000,99.0,4.345448,4.757000018954277,4.757000018954277,0.24630883,1.0
25370000,99.0,4.3293953,4.5330000388622285,4.5330000388622285,0.24624182,1.0
25380000,99.0,4.3699017,4.457000048160553,4.457000048160553,0.24597198,1.0
25390000,99.0,4.3579707,4.464999989271164,4.464999989271164,0.24597198,1.0
25400000,99.0,4.4001527,4.355000006556511,4.355000006556511,0.24591067,1.0
25410000,99.0,4.37897,4.1980000019073485,4.1980000019073485,0.24590988,1.0
25420000,99.0,4.3670573,4.340000023841858,4.340000023841858,0.24573575,1.0
25430000,99.0,4.361973,4.597000011205673,4.597000011205673,0.2457249,1.0
25440000,99.0,4.3567667,4.385000040531159,4.385000040531159,0.24571064,1.0
25450000,99.0,4.3529015,4.304999979138374,4.304999979138374,0.24570532,1.0
25460000,99.0,4.375448,4.144000055789948,4.144000055789948,0.24546304,1.0
25470000,99.0,4.364749,4.442000046372414,4.442000046372414,0.24535494,1.0
25480000,99.0,4.393362,4.5179999780654905,4.5179999780654905,0.24513894,1.0
25490000,99.0,4.3449636,3.9390000349283216,3.9390000349283216,0.24487688,1.0
25500000,99.0,4.4076533,4.525999996066093,4.525999996066093,0.244673,1.0
