Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,99.0,0.38317132,-0.31010101178679805,-0.31010101178679805,1.0
20000,None,99.0,0.4180611,-0.5200000095367432,-0.5200000095367432,1.0
30000,1.4187895,99.0,0.4116016,-0.3470000073313713,-0.3470000073313713,1.0
40000,None,99.0,0.32460102,-0.504000004529953,-0.504000004529953,1.0
50000,1.418157,99.0,0.34635466,-0.5560000085830689,-0.5560000085830689,1.0
60000,1.4181569,99.0,0.23372957,-0.07300000429153443,-0.07300000429153443,1.0
70000,None,99.0,0.22829759,-0.09400000333786011,-0.09400000333786011,1.0
80000,1.4174467,99.0,0.24160643,-0.45299999713897704,-0.45299999713897704,1.0
90000,None,99.0,0.18095304,-0.39300000011920927,-0.39300000011920927,1.0
100000,1.4174465,99.0,0.18216692,-0.571000006198883,-0.571000006198883,1.0
110000,1.4174464,99.0,0.18483078,-0.45700002551078794,-0.45700002551078794,1.0
120000,None,99.0,0.060909506,-0.6180000001192093,-0.6180000001192093,1.0
130000,1.416425,99.0,0.1567016,-0.5940000021457672,-0.5940000021457672,1.0
140000,None,99.0,0.026301045,-0.30200000047683717,-0.30200000047683717,1.0
150000,1.4121909,99.0,0.061721846,-0.03900000095367431,-0.03900000095367431,1.0
160000,1.4105588,99.0,0.025106415,-0.6129999923706054,-0.6129999923706054,1.0
170000,None,99.0,0.03233612,-0.08699999764561653,-0.08699999764561653,1.0
180000,1.4108245,99.0,0.04458824,-0.32800001084804536,-0.32800001084804536,1.0
190000,None,99.0,0.082744725,-0.3350000113248825,-0.3350000113248825,1.0
200000,1.4106895,99.0,0.034660652,-0.9200000178813934,-0.9200000178813934,1.0
210000,1.4106896,99.0,0.048687052,-0.2959999948740005,-0.2959999948740005,1.0
220000,None,99.0,0.01642426,-0.5150000062584877,-0.5150000062584877,1.0
230000,1.4116122,99.0,0.016877664,-0.48500000715255737,-0.48500000715255737,1.0
240000,None,99.0,0.034491025,-0.9029999995231628,-0.9029999995231628,1.0
250000,1.41314,99.0,0.040731464,-0.3740000116825104,-0.3740000116825104,1.0
260000,1.4131399,99.0,-0.0013746333,-0.20100000500679016,-0.20100000500679016,1.0
270000,None,99.0,0.013452559,-0.15900000870227815,-0.15900000870227815,1.0
280000,1.409003,99.0,0.034644827,-0.09900000214576721,-0.09900000214576721,1.0
290000,None,99.0,0.028772684,-0.23000000655651093,-0.23000000655651093,1.0
300000,1.407333,99.0,0.035535466,-0.40800000429153443,-0.40800000429153443,1.0
310000,1.407333,99.0,-0.039283775,-0.6340000104904174,-0.6340000104904174,1.0
320000,None,99.0,-0.03499191,-0.46600000143051146,-0.46600000143051146,1.0
330000,1.4091676,99.0,0.004981015,-0.3970000123977661,-0.3970000123977661,1.0
340000,None,99.0,-0.023218453,-0.18400000512599946,-0.18400000512599946,1.0
350000,1.4102136,99.0,-0.042774506,-0.8290000134706497,-0.8290000134706497,1.0
360000,1.4102137,99.0,-0.02033101,0.013999993205070496,0.013999993205070496,1.0
370000,None,99.0,-0.030126503,-0.6540000057220459,-0.6540000057220459,1.0
380000,1.4102733,99.0,-0.028117659,-0.7579999941587449,-0.7579999941587449,1.0
390000,None,99.0,-0.031392585,-0.4529999816417694,-0.4529999816417694,1.0
400000,1.4113815,99.0,-0.079926014,-0.8500000232458115,-0.8500000232458115,1.0
410000,1.4113814,99.0,-0.022700133,-0.47300000190734864,-0.47300000190734864,1.0
420000,None,99.0,-0.06687048,-0.09399999976158142,-0.09399999976158142,1.0
430000,1.4108262,99.0,-0.14871731,-0.22199999570846557,-0.22199999570846557,1.0
440000,None,99.0,-0.13658972,-0.1649999988079071,-0.1649999988079071,1.0
450000,1.4096439,99.0,-0.19236556,-0.5590000009536743,-0.5590000009536743,1.0
460000,1.4096438,99.0,-0.06844283,-0.07399999618530273,-0.07399999618530273,1.0
470000,None,99.0,-0.23913562,-0.34299999594688413,-0.34299999594688413,1.0
480000,1.4093742,99.0,-0.11234999,-0.19099999845027923,-0.19099999845027923,1.0
490000,None,99.0,-0.14542069,-0.27899999380111695,-0.27899999380111695,1.0
500000,1.4105532,99.0,-0.14379592,-0.44600000977516174,-0.44600000977516174,1.0
