Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,99.0,-1.0659397,-7.424242424242424,-7.424242424242424,1.0
20000,1.4189383,99.0,-1.0495615,-9.18,-9.18,1.0
30000,1.4173896,99.0,-1.2127205,-8.965,-8.965,1.0
40000,1.4168295,99.0,-1.2877187,-5.925,-5.925,1.0
50000,1.4146882,99.0,-1.3897834,-7.305,-7.305,1.0
60000,1.4139278,99.0,-1.3875715,-8.665,-8.665,1.0
70000,1.4124496,99.0,-1.4667618,-7.245,-7.245,1.0
80000,1.4108812,99.0,-1.5520512,-6.59,-6.59,1.0
90000,1.4097849,99.0,-1.6368636,-8.295,-8.295,1.0
100000,1.4086323,99.0,-1.7596664,-7.72,-7.72,1.0
110000,1.408257,99.0,-1.8590695,-6.55,-6.55,1.0
120000,1.4070454,99.0,-2.0273619,-6.34,-6.34,1.0
130000,1.406791,99.0,-2.0405128,-4.1,-4.1,1.0
140000,1.4059602,99.0,-2.0566344,-4.265,-4.265,1.0
150000,1.4059602,99.0,-2.0362322,-6.295,-6.295,1.0
160000,1.4059328,99.0,-2.1472068,-5.375,-5.375,1.0
170000,1.4059328,99.0,-2.1354165,-6.61,-6.61,1.0
180000,1.4039066,99.0,-2.2864673,-5.59,-5.59,1.0
190000,1.4038702,99.0,-2.3281128,-5.48,-5.48,1.0
200000,1.4030347,99.0,-2.483394,-7.295,-7.295,1.0
210000,1.4027387,99.0,-2.496926,-7.755,-7.755,1.0
220000,1.4016942,99.0,-2.6660147,-4.49,-4.49,1.0
230000,1.4013214,99.0,-2.6026666,-9.23,-9.23,1.0
240000,1.4010206,99.0,-2.6185408,-11.07,-11.07,1.0
250000,1.4007035,99.0,-2.6272254,-3.25,-3.25,1.0
260000,1.399982,99.0,-2.6788242,-6.36,-6.36,1.0
270000,1.3992175,99.0,-2.745045,-8.41,-8.41,1.0
280000,1.3990963,99.0,-2.842832,-7.625,-7.625,1.0
