Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.7724092,99.0,-0.13864121,-17.055555555555557,-17.055555555555557,1.0
20000,2.772408,99.0,-0.13046871,-19.41,-19.41,1.0
30000,2.7681668,99.0,-0.32174373,-18.745,-18.745,1.0
40000,2.7678802,99.0,-0.34635872,-16.625,-16.625,1.0
50000,2.753399,99.0,-0.5474115,-19.16,-19.16,1.0
60000,2.752891,99.0,-0.628966,-14.21,-14.21,1.0
70000,2.7503233,99.0,-0.83794725,-13.735,-13.735,1.0
80000,2.7492983,99.0,-0.86714816,-15.5,-15.5,1.0
90000,2.7368011,99.0,-1.0724002,-14.815,-14.815,1.0
100000,2.7360342,99.0,-1.1557307,-11.465,-11.465,1.0
110000,2.7207427,99.0,-1.2449679,-13.43,-13.43,1.0
120000,2.719256,99.0,-1.3134019,-13.495,-13.495,1.0
130000,2.7040603,99.0,-1.4941784,-12.965,-12.965,1.0
140000,2.690264,99.0,-1.5585699,-12.005,-12.005,1.0
150000,2.688805,99.0,-1.5801134,-12.245,-12.245,1.0
160000,2.665211,99.0,-1.7003673,-10.46,-10.46,1.0
170000,2.6330125,99.0,-1.7958103,-9.365,-9.365,1.0
180000,2.6361356,99.0,-1.9171869,-9.66,-9.66,1.0
190000,2.6279383,99.0,-1.9182956,-10.27,-10.27,1.0
200000,2.6165626,99.0,-2.093619,-7.625,-7.625,1.0
210000,2.6164303,99.0,-2.1053393,-7.26,-7.26,1.0
220000,2.574325,99.0,-2.2062895,-5.28,-5.28,1.0
230000,2.5831506,99.0,-2.2353208,-6.61,-6.61,1.0
240000,2.5943704,99.0,-2.2289948,-6.275,-6.275,1.0
250000,2.5796092,99.0,-2.3164275,-8.16,-8.16,1.0
260000,2.5737677,99.0,-2.4009027,-4.7,-4.7,1.0
270000,2.570878,99.0,-2.4896448,-7.71,-7.71,1.0
280000,2.5699716,99.0,-2.5800207,-6.16,-6.16,1.0
290000,2.5690992,99.0,-2.5243773,-5.955,-5.955,1.0
300000,2.5354085,99.0,-2.6559548,-5.545,-5.545,1.0
310000,2.5345738,99.0,-2.6918294,-5.585,-5.585,1.0
320000,2.5227761,99.0,-2.7698505,-3.875,-3.875,1.0
330000,2.5361204,99.0,-2.6977255,-4.895,-4.895,1.0
340000,2.4990802,99.0,-2.7747955,-3.0,-3.0,1.0
350000,2.507339,99.0,-2.6976688,-4.575,-4.575,1.0
360000,2.4595242,99.0,-2.732044,-3.155,-3.155,1.0
370000,2.4729357,99.0,-2.7014282,-3.215,-3.215,1.0
380000,2.446761,99.0,-2.744693,-6.755,-6.755,1.0
390000,2.4279478,99.0,-2.6701922,-2.26,-2.26,1.0
400000,2.4368155,99.0,-2.87575,-5.92,-5.92,1.0
410000,2.4388306,99.0,-2.7925591,-4.605,-4.605,1.0
420000,2.4134429,99.0,-2.8268561,-2.39,-2.39,1.0
430000,2.4104793,99.0,-2.9259768,-3.235,-3.235,1.0
440000,2.3877344,99.0,-2.7987158,-1.575,-1.575,1.0
450000,2.390907,99.0,-2.711217,-2.13,-2.13,1.0
460000,2.3619127,99.0,-2.6273088,-0.24,-0.24,1.0
470000,2.3549328,99.0,-2.5555816,-0.215,-0.215,1.0
480000,2.3592186,99.0,-2.5776458,-2.52,-2.52,1.0
490000,2.3412688,99.0,-2.4291563,-2.245,-2.245,1.0
500000,2.3134813,99.0,-2.371872,-1.705,-1.705,1.0
510000,2.318796,99.0,-2.3528953,-1.385,-1.385,1.0
520000,2.3119302,99.0,-2.2831721,-2.115,-2.115,1.0
530000,2.2992864,99.0,-2.212182,-0.64,-0.64,1.0
540000,2.2896636,99.0,-2.2276309,-1.49,-1.49,1.0
550000,2.2713225,99.0,-2.0594535,-0.805,-0.805,1.0
560000,2.2766752,99.0,-2.0669408,-0.9,-0.9,1.0
570000,2.2471724,99.0,-1.9621041,-1.005,-1.005,1.0
580000,2.2376451,99.0,-1.998771,-1.135,-1.135,1.0
590000,2.223162,99.0,-1.8399843,-0.48,-0.48,1.0
600000,2.2359376,99.0,-1.8176913,-0.59,-0.59,1.0
610000,2.217264,99.0,-1.7932559,-0.195,-0.195,1.0
620000,2.1876469,99.0,-1.7244978,-0.025,-0.025,1.0
630000,2.1729136,99.0,-1.6304668,0.05,0.05,1.0
640000,2.195173,99.0,-1.5797877,-0.32,-0.32,1.0
650000,2.1736147,99.0,-1.5748717,-0.18,-0.18,1.0
660000,2.163571,99.0,-1.4955708,-0.8,-0.8,1.0
670000,2.1604292,99.0,-1.4714066,-0.12,-0.12,1.0
680000,2.1694808,99.0,-1.4790932,-0.745,-0.745,1.0
690000,2.1576874,99.0,-1.2580174,0.1,0.1,1.0
700000,2.1546774,99.0,-1.3156624,-0.205,-0.205,1.0
710000,2.1444612,99.0,-1.1349977,-0.41,-0.41,1.0
720000,2.15121,99.0,-1.1771812,0.15,0.15,1.0
730000,2.1536024,99.0,-1.1872709,-0.025,-0.025,1.0
740000,2.1561298,99.0,-1.164046,-0.045,-0.045,1.0
750000,2.1349454,99.0,-1.1229517,-0.775,-0.775,1.0
760000,2.1207163,99.0,-0.97846496,0.045,0.045,1.0
770000,2.1412475,99.0,-0.95387286,-0.085,-0.085,1.0
