Steps,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Entropy,Is Training
1790000,99.0,2.642616,4.045000059604645,4.045000059604645,1.2488028,1.0
1800000,99.0,2.6328928,4.0180000460147856,4.0180000460147856,1.2488028,1.0
1810000,99.0,2.6635828,4.0230000674724575,4.0230000674724575,1.2466983,1.0
1820000,99.0,2.6932104,3.7340000581741335,3.7340000581741335,1.2465509,1.0
1830000,99.0,2.6576715,4.012000072002411,4.012000072002411,1.2442579,1.0
1840000,99.0,2.664999,4.091000046730041,4.091000046730041,1.2440646,1.0
1850000,99.0,2.6708496,3.983000078201294,3.983000078201294,1.243088,1.0
1860000,99.0,2.6717496,3.996000076532364,3.996000076532364,1.2421113,1.0
1870000,99.0,2.6779687,3.9340000569820406,3.9340000569820406,1.2405136,1.0
1880000,99.0,2.7768507,3.9630000829696654,3.9630000829696654,1.238405,1.0
1890000,99.0,2.7465322,4.065000075101852,4.065000075101852,1.2371802,1.0
1900000,99.0,2.7531033,3.925000067949295,3.925000067949295,1.2355592,1.0
1910000,99.0,2.7113376,3.993000044822693,3.993000044822693,1.2355592,1.0
1920000,99.0,2.7521362,3.9460000622272493,3.9460000622272493,1.2323265,1.0
1930000,99.0,2.732798,3.952000080347061,3.952000080347061,1.2323265,1.0
1940000,99.0,2.6796308,4.021000015735626,4.021000015735626,1.2312225,1.0
1950000,99.0,2.6931925,3.881000064611435,3.881000064611435,1.2311612,1.0
1960000,99.0,2.6655958,4.198000056743622,4.198000056743622,1.2295399,1.0
1970000,99.0,2.6889935,3.881000066995621,3.881000066995621,1.2294081,1.0
1980000,99.0,2.624591,3.921000065803528,3.921000065803528,1.2281454,1.0
1990000,99.0,2.6076846,3.9510000240802765,3.9510000240802765,1.2268823,1.0
2000000,99.0,2.6267765,3.8190000569820404,3.8190000569820404,1.2259147,1.0
2010000,99.0,2.635426,4.100000047683716,4.100000047683716,1.2246864,1.0
2020000,99.0,2.6085863,4.036000027656555,4.036000027656555,1.223463,1.0
2030000,99.0,2.619477,3.9460000717639923,3.9460000717639923,1.2218176,1.0
2040000,99.0,2.6304924,3.63600005030632,3.63600005030632,1.2218176,1.0
2050000,99.0,2.6446338,3.8120000445842743,3.8120000445842743,1.2203,1.0
2060000,99.0,2.6297479,3.9270000362396242,3.9270000362396242,1.2203,1.0
2070000,99.0,2.6462874,3.797000069618225,3.797000069618225,1.2189691,1.0
2080000,99.0,2.5902228,3.9020000672340394,3.9020000672340394,1.2188809,1.0
2090000,99.0,2.5084965,4.0430000567436215,4.0430000567436215,1.2179564,1.0
2100000,99.0,2.4900358,3.8500000584125518,3.8500000584125518,1.2178804,1.0
2110000,99.0,2.4804327,4.056000084877014,4.056000084877014,1.2173146,1.0
2120000,99.0,2.5890272,4.040000029802322,4.040000029802322,1.216749,1.0
2130000,99.0,2.549021,4.077000070810318,4.077000070810318,1.2159299,1.0
2140000,99.0,2.4808595,4.0830000627040866,4.0830000627040866,1.2148341,1.0
2150000,99.0,2.4726331,3.8590000224113465,3.8590000224113465,1.2139841,1.0
2160000,99.0,2.5100367,4.0540000641345975,4.0540000641345975,1.2128074,1.0
2170000,99.0,2.577515,3.9080000638961794,3.9080000638961794,1.2128074,1.0
2180000,99.0,2.525504,4.250000101327896,4.250000101327896,1.2094477,1.0
2190000,99.0,2.5393815,3.892000048160553,3.892000048160553,1.2094477,1.0
2200000,99.0,2.5616844,4.042000066041947,4.042000066041947,1.208708,1.0
2210000,99.0,2.60271,4.109000071287155,4.109000071287155,1.2086926,1.0
2220000,99.0,2.652665,4.058000054359436,4.058000054359436,1.2073196,1.0
2230000,99.0,2.6511936,4.070000028610229,4.070000028610229,1.2071646,1.0
2240000,99.0,2.6543086,4.105000075101852,4.105000075101852,1.2061814,1.0
2250000,99.0,2.639369,4.069000055789948,4.069000055789948,1.205198,1.0
2260000,99.0,2.6284547,4.138000079393387,4.138000079393387,1.2047492,1.0
2270000,99.0,2.6450806,4.23200003862381,4.23200003862381,1.2041676,1.0
2280000,99.0,2.6289642,4.018000078201294,4.018000078201294,1.2041779,1.0
2290000,99.0,2.614434,4.002000037431717,4.002000037431717,1.204197,1.0
2300000,99.0,2.6428175,3.936000047922134,3.936000047922134,1.204197,1.0
2310000,99.0,2.6502993,4.107000076770783,4.107000076770783,1.2021122,1.0
2320000,99.0,2.764682,4.0090000486373905,4.0090000486373905,1.2021122,1.0
2330000,99.0,2.7276516,4.0450000321865085,4.0450000321865085,1.2001766,1.0
2340000,99.0,2.741997,4.021000044345856,4.021000044345856,1.2000396,1.0
2350000,99.0,2.7753484,4.080000073909759,4.080000073909759,1.1995409,1.0
2360000,99.0,2.7616308,4.112000088691712,4.112000088691712,1.1995119,1.0
2370000,99.0,2.812947,4.088000050783157,4.088000050783157,1.199165,1.0
2380000,99.0,2.7798274,4.117000020742417,4.117000020742417,1.1988183,1.0
2390000,99.0,2.8142922,3.8100000655651094,3.8100000655651094,1.1980414,1.0
2400000,99.0,2.7422106,4.185000047683716,4.185000047683716,1.1970412,1.0
2410000,99.0,2.7034788,4.203000075817108,4.203000075817108,1.1957206,1.0
2420000,99.0,2.7588556,4.05300005197525,4.05300005197525,1.193917,1.0
2430000,99.0,2.7558918,4.008000069856644,4.008000069856644,1.193917,1.0
2440000,99.0,2.684175,3.920000032186508,3.920000032186508,1.1910496,1.0
2450000,99.0,2.6748605,3.9710000312328337,3.9710000312328337,1.1910496,1.0
2460000,99.0,2.7313495,4.173000038862228,4.173000038862228,1.1900375,1.0
2470000,99.0,2.7594314,3.9300000727176667,3.9300000727176667,1.189973,1.0
2480000,99.0,2.7216263,4.1000000405311585,4.1000000405311585,1.1880268,1.0
2490000,99.0,2.7190683,3.9389999997615814,3.9389999997615814,1.1878744,1.0
2500000,99.0,2.7310803,4.136000059843063,4.136000059843063,1.1864088,1.0
2510000,99.0,2.7112303,4.075000050067902,4.075000050067902,1.1849432,1.0
2520000,99.0,2.7442951,4.1720000636577605,4.1720000636577605,1.1835598,1.0
2530000,99.0,2.7991421,3.9280000388622285,3.9280000388622285,1.181713,1.0
2540000,99.0,2.8096652,3.8530000329017637,3.8530000329017637,1.1811343,1.0
2550000,99.0,2.7016864,4.292000079154969,4.292000079154969,1.1804179,1.0
2560000,99.0,2.8122637,4.140000067949295,4.140000067949295,1.1804179,1.0
2570000,99.0,2.8066108,3.9820000410079954,3.9820000410079954,1.1793892,1.0
2580000,99.0,2.840044,4.155000052452087,4.155000052452087,1.1793892,1.0
2590000,99.0,2.8763795,4.014000104665756,4.014000104665756,1.1783458,1.0
2600000,99.0,2.867421,4.034000067710877,4.034000067710877,1.1782825,1.0
2610000,99.0,2.8764822,4.034000055789948,4.034000055789948,1.1763816,1.0
2620000,99.0,2.8585389,4.050000071525574,4.050000071525574,1.1761934,1.0
2630000,99.0,2.850171,3.9900000751018525,3.9900000751018525,1.175001,1.0
2640000,99.0,2.935164,4.020000047683716,4.020000047683716,1.1738088,1.0
