Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.7702963,99.0,0.5298145,-16.424242424242426,-16.424242424242426,1.0
20000,2.770517,99.0,0.4950225,-14.405,-14.405,1.0
30000,2.7672026,99.0,0.32436305,-15.98,-15.98,1.0
40000,2.7667336,99.0,0.33672377,-15.0,-15.0,1.0
50000,2.76112,99.0,0.052228168,-14.67,-14.67,1.0
60000,2.7619948,99.0,0.0022565676,-14.64,-14.64,1.0
70000,2.758093,99.0,0.009798218,-14.16,-14.16,1.0
80000,2.7633665,99.0,-0.2543172,-15.175,-15.175,1.0
90000,2.7401264,99.0,-0.15811016,-13.41,-13.41,1.0
100000,2.738506,99.0,0.14462347,-14.31,-14.31,1.0
110000,2.72139,99.0,-0.2252851,-14.5,-14.5,1.0
120000,2.7172418,99.0,-0.30573443,-13.205,-13.205,1.0
130000,2.749203,99.0,-0.7625539,-14.015,-14.015,1.0
140000,2.7507713,99.0,-0.8575485,-12.135,-12.135,1.0
150000,2.7502139,99.0,-0.96136403,-12.68,-12.68,1.0
160000,2.735953,99.0,-0.9793132,-16.34,-16.34,1.0
170000,2.7300828,99.0,-1.1359404,-11.315,-11.315,1.0
180000,2.7302787,99.0,-1.0906706,-13.225,-13.225,1.0
190000,2.722056,99.0,-1.2813953,-15.27,-15.27,1.0
200000,2.717443,99.0,-1.3308525,-9.925,-9.925,1.0
210000,2.7127564,99.0,-1.4760188,-12.265,-12.265,1.0
220000,2.690554,99.0,-1.6927153,-11.3,-11.3,1.0
230000,2.6892595,99.0,-1.6742752,-9.46,-9.46,1.0
240000,2.6962326,99.0,-1.7357353,-9.135,-9.135,1.0
250000,2.678547,99.0,-1.803468,-8.415,-8.415,1.0
260000,2.6641328,99.0,-1.823972,-9.97,-9.97,1.0
270000,2.6518905,99.0,-2.109906,-9.54,-9.54,1.0
280000,2.6062307,99.0,-2.0262537,-8.415,-8.415,1.0
290000,2.609906,99.0,-1.9600865,-9.845,-9.845,1.0
300000,2.565339,99.0,-2.0444508,-8.51,-8.51,1.0
310000,2.574789,99.0,-2.2136903,-9.08,-9.08,1.0
320000,2.5450354,99.0,-2.2480178,-5.68,-5.68,1.0
330000,2.5561917,99.0,-2.3847337,-9.325,-9.325,1.0
340000,2.5345194,99.0,-2.08962,-7.575,-7.575,1.0
350000,2.534989,99.0,-2.1651525,-8.73,-8.73,1.0
360000,2.5177646,99.0,-2.3931515,-8.155,-8.155,1.0
370000,2.539723,99.0,-2.649622,-8.16,-8.16,1.0
380000,2.5150006,99.0,-2.5515788,-5.11,-5.11,1.0
390000,2.4702132,99.0,-2.530191,-4.6,-4.6,1.0
400000,2.4832265,99.0,-2.3437328,-6.515,-6.515,1.0
410000,2.488525,99.0,-2.4209905,-5.35,-5.35,1.0
420000,2.4243476,99.0,-2.7486596,-5.1,-5.1,1.0
430000,2.421818,99.0,-2.5159118,-3.945,-3.945,1.0
440000,2.4020247,99.0,-2.5280979,-3.1,-3.1,1.0
450000,2.3978832,99.0,-2.5914674,-3.25,-3.25,1.0
460000,2.3894887,99.0,-2.5590055,-4.46,-4.46,1.0
470000,2.3310683,99.0,-2.3672678,-2.27,-2.27,1.0
480000,2.3067472,99.0,-2.1072538,-4.08,-4.08,1.0
490000,2.2698734,99.0,-2.1604905,-3.935,-3.935,1.0
500000,2.2305396,99.0,-2.3513258,-1.79,-1.79,1.0
510000,2.2285564,99.0,-2.6406925,-2.74,-2.74,1.0
520000,2.205126,99.0,-2.2046895,-3.185,-3.185,1.0
530000,2.1925926,99.0,-2.3465495,-1.82,-1.82,1.0
540000,2.1649773,99.0,-2.217816,-1.415,-1.415,1.0
550000,2.178721,99.0,-2.2933128,-2.71,-2.71,1.0
560000,2.1894124,99.0,-2.13807,-2.0,-2.0,1.0
570000,2.126539,99.0,-1.9984198,-1.55,-1.55,1.0
580000,2.1098485,99.0,-1.8891463,-1.98,-1.98,1.0
590000,2.1127405,99.0,-1.8590158,-1.615,-1.615,1.0
600000,2.1222901,99.0,-1.8489709,-0.9,-0.9,1.0
610000,2.1600485,99.0,-2.1001432,-1.575,-1.575,1.0
620000,2.1223226,99.0,-2.0976846,-2.05,-2.05,1.0
630000,2.062746,99.0,-1.829693,-0.49,-0.49,1.0
640000,2.0863256,99.0,-1.9226961,-0.7,-0.7,1.0
650000,2.0566838,99.0,-1.4148841,-1.235,-1.235,1.0
660000,2.0859802,99.0,-1.6520734,-0.42,-0.42,1.0
670000,2.073528,99.0,-1.7978604,-1.29,-1.29,1.0
680000,2.0664198,99.0,-1.7048787,-2.395,-2.395,1.0
690000,2.019917,99.0,-1.4939129,-0.925,-0.925,1.0
700000,2.0297174,99.0,-1.4133458,-0.545,-0.545,1.0
710000,2.0096812,99.0,-1.4446557,-1.23,-1.23,1.0
720000,2.0387146,99.0,-1.3173496,-0.625,-0.625,1.0
730000,2.0004604,99.0,-1.2595328,-1.305,-1.305,1.0
740000,2.0201435,99.0,-1.1728762,-0.405,-0.405,1.0
750000,2.0032024,99.0,-1.3902129,-1.095,-1.095,1.0
760000,1.981147,99.0,-1.2311922,-0.69,-0.69,1.0
770000,1.9932375,99.0,-1.1810483,-0.4,-0.4,1.0
780000,2.00226,99.0,-1.1897953,-1.31,-1.31,1.0
790000,1.9734131,99.0,-0.93446755,-0.195,-0.195,1.0
800000,1.971268,99.0,-0.7283563,-0.485,-0.485,1.0
810000,1.9813678,99.0,-0.93065035,-0.355,-0.355,1.0
820000,1.9694793,99.0,-0.98318994,-0.2,-0.2,1.0
830000,1.9733303,99.0,-0.89435077,-0.295,-0.295,1.0
840000,1.9951831,99.0,-0.89510286,-0.535,-0.535,1.0
850000,1.9870785,99.0,-0.8287775,-0.93,-0.93,1.0
860000,1.97918,99.0,-0.8447449,-0.63,-0.63,1.0
870000,1.9512266,99.0,-0.736194,-0.495,-0.495,1.0
880000,1.9736174,99.0,-0.75476855,-0.47,-0.47,1.0
890000,1.9446646,99.0,-0.61079055,-0.1,-0.1,1.0
900000,1.9301757,99.0,-0.54804605,-0.035,-0.035,1.0
910000,1.9606606,99.0,-0.6944906,-0.655,-0.655,1.0
920000,1.9669539,99.0,-0.617305,-0.365,-0.365,1.0
930000,1.986589,99.0,-0.73710805,-0.73,-0.73,1.0
940000,1.9547333,99.0,-0.48548806,-0.47,-0.47,1.0
950000,1.9479091,99.0,-0.5873889,-0.325,-0.325,1.0
960000,1.9791772,99.0,-0.5828558,-0.255,-0.255,1.0
970000,1.9506794,99.0,-0.5496762,-0.295,-0.295,1.0
980000,1.9853534,99.0,-0.50476635,0.06,0.06,1.0
990000,1.9648548,99.0,-0.48631245,-0.165,-0.165,1.0
1000000,1.9963981,99.0,-0.4249167,0.02,0.02,1.0
1010000,1.9862951,99.0,-0.5040763,0.05,0.05,1.0
1020000,1.9281939,99.0,-0.42210162,-0.585,-0.585,1.0
1030000,1.9904848,99.0,-0.5460117,-0.105,-0.105,1.0
1040000,1.9582204,99.0,-0.48271468,-0.375,-0.375,1.0
1050000,1.8982846,99.0,-0.3710882,0.145,0.145,1.0
1060000,1.9515233,99.0,-0.44438526,-0.355,-0.355,1.0
1070000,1.9475594,99.0,-0.34555,0.1,0.1,1.0
1080000,1.9202843,99.0,-0.3750192,-0.955,-0.955,1.0
1090000,1.9169776,99.0,-0.28864014,-0.135,-0.135,1.0
1100000,1.9386795,99.0,-0.34438455,-0.12,-0.12,1.0
1110000,1.8825084,99.0,-0.31772354,-0.485,-0.485,1.0
1120000,1.9043918,99.0,-0.33408755,-0.235,-0.235,1.0
1130000,1.9131018,99.0,-0.36705253,0.08,0.08,1.0
1140000,1.9076346,99.0,-0.32818398,0.15,0.15,1.0
1150000,1.9266478,99.0,-0.2956072,-0.345,-0.345,1.0
1160000,1.927025,99.0,-0.29345503,-0.365,-0.365,1.0
1170000,1.9213381,99.0,-0.3025473,-0.025,-0.025,1.0
1180000,1.9173969,99.0,-0.2807719,0.07,0.07,1.0
1190000,1.9064188,99.0,-0.25348374,-0.275,-0.275,1.0
1200000,1.8992538,99.0,-0.27530777,-0.025,-0.025,1.0
1210000,1.9200894,99.0,-0.1879834,-0.06,-0.06,1.0
1220000,1.9254403,99.0,-0.24511455,0.14,0.14,1.0
1230000,1.9547914,99.0,-0.25623244,0.1,0.1,1.0
1240000,1.974493,99.0,-0.29984814,-0.085,-0.085,1.0
1250000,1.9671464,99.0,-0.22731426,-0.22,-0.22,1.0
1260000,1.9310784,99.0,-0.15880316,0.16,0.16,1.0
1270000,1.9570224,99.0,-0.09298112,0.16,0.16,1.0
1280000,1.936956,99.0,-0.16225187,0.09,0.09,1.0
1290000,1.9456607,99.0,-0.16610758,-0.065,-0.065,1.0
1300000,1.9196967,99.0,-0.06881122,0.13,0.13,1.0
1310000,1.8959717,99.0,-0.12623975,0.11,0.11,1.0
1320000,1.9223956,99.0,-0.08011417,0.21,0.21,1.0
1330000,1.8999959,99.0,-0.11633859,0.01,0.01,1.0
1340000,1.8977513,99.0,-0.098235615,0.05,0.05,1.0
1350000,1.8900619,99.0,-0.03566872,0.11,0.11,1.0
1360000,1.884398,99.0,-0.032430533,-0.115,-0.115,1.0
1370000,1.9121466,99.0,-0.08193388,-0.1,-0.1,1.0
1380000,1.8698376,99.0,-0.06308775,-0.3,-0.3,1.0
1390000,1.9108655,99.0,-0.07359157,-0.22,-0.22,1.0
1400000,1.8795156,99.0,-0.08888029,0.105,0.105,1.0
1410000,1.9063797,99.0,-0.061018344,0.09,0.09,1.0
1420000,1.9015943,99.0,-0.093439676,-0.01,-0.01,1.0
1430000,1.8883219,99.0,-0.035464443,-0.025,-0.025,1.0
1440000,1.9073442,99.0,-0.056549735,0.165,0.165,1.0
1450000,1.9183016,99.0,-0.01354583,0.065,0.065,1.0
1460000,1.9111807,99.0,-0.02504027,0.095,0.095,1.0
1470000,1.884506,99.0,-0.04166949,0.115,0.115,1.0
1480000,1.8792508,99.0,0.01247463,0.13,0.13,1.0
1490000,1.8825904,99.0,-0.004456807,0.035,0.035,1.0
1500000,1.8940785,99.0,0.01600513,0.145,0.145,1.0
1510000,1.8962886,99.0,-0.020487314,-0.02,-0.02,1.0
