Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,99.0,3.9211633,0.10101010101010101,0.10101010101010101,1.0
20000,1.4189383,99.0,3.8878226,0.09,0.09,1.0
30000,1.4202712,99.0,4.539838,0.05,0.05,1.0
40000,1.4204333,99.0,4.9515247,0.065,0.065,1.0
50000,1.4211711,99.0,5.1183968,0.0375,0.0375,1.0
60000,1.4211711,99.0,5.655444,0.0375,0.0375,1.0
70000,1.4211711,99.0,5.4392104,0.05,0.05,1.0
80000,1.4222742,99.0,6.654912,0.09,0.09,1.0
90000,1.4222742,99.0,6.935565,0.0775,0.0775,1.0
100000,1.4229945,99.0,6.63006,0.1,0.1,1.0
110000,1.4229945,99.0,7.0994782,0.1275,0.1275,1.0
120000,1.4219621,99.0,7.9595594,0.145,0.145,1.0
130000,1.4219621,99.0,7.104394,0.125,0.125,1.0
140000,1.4220426,99.0,7.63262,0.105,0.105,1.0
150000,1.4220785,99.0,9.779929,0.05,0.05,1.0
160000,1.4233453,99.0,7.4551396,0.1,0.1,1.0
170000,1.423514,99.0,9.147409,0.1775,0.1775,1.0
180000,1.426039,99.0,11.808887,0.1425,0.1425,1.0
190000,1.426039,99.0,11.121912,0.0875,0.0875,1.0
200000,1.4260391,99.0,9.453584,0.1325,0.1325,1.0
210000,1.4281042,99.0,9.752571,0.05,0.05,1.0
220000,1.4281042,99.0,8.1791935,0.0875,0.0875,1.0
230000,1.4300135,99.0,7.671194,0.165,0.165,1.0
240000,1.4300135,99.0,7.286179,0.185,0.185,1.0
250000,1.4300135,99.0,8.33987,0.0775,0.0775,1.0
260000,1.4309171,99.0,8.839615,0.075,0.075,1.0
270000,1.4303675,99.0,8.172478,0.105,0.105,1.0
280000,1.4302644,99.0,7.878526,0.155,0.155,1.0
290000,1.4315479,99.0,12.741443,0.1025,0.1025,1.0
300000,1.4317646,99.0,10.933839,0.1175,0.1175,1.0
310000,1.4317646,99.0,8.452673,0.1874999988079071,0.1874999988079071,1.0
320000,1.4335161,99.0,9.044967,0.0875,0.0875,1.0
330000,1.4335161,99.0,11.568474,0.05,0.05,1.0
340000,1.4353154,99.0,9.077415,0.0925,0.0925,1.0
350000,1.4353154,99.0,9.714148,0.1,0.1,1.0
360000,1.4364523,99.0,9.832353,0.05,0.05,1.0
370000,1.4364523,99.0,9.724642,0.0375,0.0375,1.0
380000,1.4364522,99.0,9.827721,0.1525,0.1525,1.0
390000,1.4377443,99.0,9.919761,0.05,0.05,1.0
400000,1.437848,99.0,9.224829,0.1025,0.1025,1.0
410000,1.4378679,99.0,10.309565,0.08,0.08,1.0
420000,1.4381952,99.0,9.596094,0.05,0.05,1.0
430000,1.4383107,99.0,9.299831,0.115,0.115,1.0
440000,1.4383107,99.0,9.483106,0.1,0.1,1.0
450000,1.4384364,99.0,9.425713,0.075,0.075,1.0
460000,1.4384364,99.0,9.830532,0.1175,0.1175,1.0
470000,1.4403578,99.0,9.833843,0.075,0.075,1.0
480000,1.4403578,99.0,9.183211,0.1425,0.1425,1.0
490000,1.4403578,99.0,9.248739,0.0625,0.0625,1.0
500000,1.4419367,99.0,9.546032,0.1075,0.1075,1.0
510000,1.4419367,99.0,9.113185,0.1425,0.1425,1.0
520000,1.4419479,99.0,11.596125,0.075,0.075,1.0
530000,1.4416667,99.0,9.569027,0.065,0.065,1.0
540000,1.4416369,99.0,8.769796,0.0775,0.0775,1.0
550000,1.4416368,99.0,10.142651,0.08249999880790711,0.08249999880790711,1.0
560000,1.4419026,99.0,8.479335,0.05,0.05,1.0
570000,1.4419258,99.0,8.020098,0.125,0.125,1.0
580000,1.443055,99.0,8.580609,0.075,0.075,1.0
590000,1.443055,99.0,7.784542,0.155,0.155,1.0
600000,1.4431926,99.0,8.018741,0.1425,0.1425,1.0
610000,1.4431927,99.0,7.606624,0.115,0.115,1.0
620000,1.4431928,99.0,7.8018174,0.0375,0.0375,1.0
630000,1.4450724,99.0,7.4959135,0.0875,0.0875,1.0
640000,1.4450724,99.0,7.4432826,0.05,0.05,1.0
650000,1.4472312,99.0,6.993914,0.09,0.09,1.0
660000,1.4472312,99.0,6.7969165,0.105,0.105,1.0
670000,1.4476348,99.0,6.7127714,0.09,0.09,1.0
680000,1.4476643,99.0,6.828265,0.025,0.025,1.0
690000,1.4486731,99.0,6.3999243,0.09,0.09,1.0
700000,1.4488299,99.0,6.4778876,0.075,0.075,1.0
710000,1.4498959,99.0,6.187696,0.0625,0.0625,1.0
720000,1.4498957,99.0,6.0399084,0.11,0.11,1.0
730000,1.4498957,99.0,6.084255,0.0375,0.0375,1.0
740000,1.4495379,99.0,5.828343,0.1,0.1,1.0
750000,1.4495379,99.0,5.813261,0.0625,0.0625,1.0
760000,1.4491868,99.0,5.640075,0.0625,0.0625,1.0
770000,1.4491868,99.0,5.767871,0.05,0.05,1.0
780000,1.4486333,99.0,5.342645,0.125,0.125,1.0
790000,1.4486333,99.0,5.5003967,0.115,0.115,1.0
800000,1.4489496,99.0,5.359279,0.0125,0.0125,1.0
810000,1.4490129,99.0,5.1988735,0.05,0.05,1.0
820000,1.4481608,99.0,4.9909716,0.0775,0.0775,1.0
830000,1.4480203,99.0,4.9858456,0.1025,0.1025,1.0
840000,1.4519312,99.0,4.767995,0.1125,0.1125,1.0
850000,1.4519312,99.0,4.446531,0.1025,0.1025,1.0
860000,1.4519314,99.0,4.5627055,0.025,0.025,1.0
870000,1.4511139,99.0,4.2304487,0.075,0.075,1.0
880000,1.4511139,99.0,4.165987,0.0875,0.0875,1.0
890000,1.4517021,99.0,4.0221596,0.1125,0.1125,1.0
900000,1.4517022,99.0,3.9663792,0.115,0.115,1.0
910000,1.4517022,99.0,3.9167995,0.105,0.105,1.0
920000,1.451807,99.0,3.9743707,0.1025,0.1025,1.0
930000,1.4502926,99.0,3.824414,0.065,0.065,1.0
940000,1.4500306,99.0,3.7323327,0.075,0.075,1.0
950000,1.4495169,99.0,3.6199298,0.105,0.105,1.0
960000,1.4494563,99.0,3.4397507,0.1025,0.1025,1.0
970000,1.4494566,99.0,3.4971259,0.0625,0.0625,1.0
980000,1.449953,99.0,3.2327824,0.1275,0.1275,1.0
990000,1.449953,99.0,3.2641196,0.075,0.075,1.0
1000000,1.4499174,99.0,3.1328478,0.09,0.09,1.0
1010000,1.4499174,99.0,3.0049002,0.14,0.14,1.0
1020000,1.4503013,99.0,2.9328055,0.115,0.115,1.0
