Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,99.0,0.12992688,0.050505050505050504,0.050505050505050504,1.0
20000,1.4189383,99.0,0.120327175,0.04,0.04,1.0
30000,1.4198623,99.0,0.09486305,0.0375,0.0375,1.0
40000,1.4199469,99.0,0.10613144,0.0625,0.0625,1.0
50000,1.4183805,99.0,0.07364283,0.0625,0.0625,1.0
60000,1.4183805,99.0,0.068571135,0.09,0.09,1.0
70000,1.4183805,99.0,0.07014437,0.025,0.025,1.0
80000,1.4190941,99.0,0.051281337,0.0625,0.0625,1.0
90000,1.4190941,99.0,0.06382022,0.0625,0.0625,1.0
100000,1.4203001,99.0,0.053323627,0.05,0.05,1.0
110000,1.4203001,99.0,0.053286795,0.025,0.025,1.0
120000,1.4219855,99.0,0.05122987,0.04,0.04,1.0
130000,1.4219855,99.0,0.04131268,0.0375,0.0375,1.0
140000,1.4203978,99.0,0.03327992,0.075,0.075,1.0
150000,1.4199678,99.0,0.035656467,0.1125,0.1125,1.0
160000,1.4182745,99.0,0.03993773,0.0775,0.0775,1.0
170000,1.4179994,99.0,0.032581046,0.09,0.09,1.0
180000,1.4163436,99.0,0.03314729,0.0775,0.0775,1.0
190000,1.4163436,99.0,0.030209405,0.0775,0.0775,1.0
200000,1.4163436,99.0,0.03312104,0.075,0.075,1.0
210000,1.4163069,99.0,0.029538156,0.0625,0.0625,1.0
220000,1.4163069,99.0,0.03357655,0.1125,0.1125,1.0
230000,1.4176159,99.0,0.028905781,0.0625,0.0625,1.0
240000,1.4176159,99.0,0.027050532,0.0775,0.0775,1.0
250000,1.4176159,99.0,0.09901751,0.065,0.065,1.0
260000,1.4195397,99.0,0.079494506,0.075,0.075,1.0
270000,1.4215761,99.0,-0.25850013,0.115,0.115,1.0
280000,1.422001,99.0,-0.45789346,0.0625,0.0625,1.0
290000,1.4211935,99.0,-0.4418171,0.0775,0.0775,1.0
300000,1.4209703,99.0,-0.46712673,0.075,0.075,1.0
310000,1.4209703,99.0,-0.47037885,0.115,0.115,1.0
320000,1.4182009,99.0,-0.48625964,0.0375,0.0375,1.0
330000,1.4182009,99.0,-0.44836217,0.0625,0.0625,1.0
340000,1.4167482,99.0,-0.4286442,0.0875,0.0875,1.0
350000,1.4167482,99.0,-0.46030477,0.1,0.1,1.0
360000,1.41318,99.0,-0.38102186,0.1,0.1,1.0
370000,1.41318,99.0,-0.39381748,0.185,0.185,1.0
380000,1.41318,99.0,-0.38925475,0.0875,0.0875,1.0
390000,1.4118073,99.0,-0.3397828,0.155,0.155,1.0
400000,1.4107286,99.0,-0.36033586,0.1,0.1,1.0
410000,1.410488,99.0,-0.42592973,0.1125,0.1125,1.0
420000,1.4104178,99.0,-0.2936749,0.05,0.05,1.0
430000,1.4103564,99.0,-0.15408096,0.0875,0.0875,1.0
440000,1.4103564,99.0,-0.16082834,0.13,0.13,1.0
450000,1.4095345,99.0,-0.037890404,0.1275,0.1275,1.0
460000,1.4095345,99.0,-0.218099,0.1325,0.1325,1.0
470000,1.4096999,99.0,-0.017475355,0.1,0.1,1.0
480000,1.4096997,99.0,-0.16930218,0.05,0.05,1.0
490000,1.4096998,99.0,-0.13337077,0.1175,0.1175,1.0
500000,1.4093971,99.0,-0.12967378,0.115,0.115,1.0
